[3a424953-fa5b-418f-8f11-462e52bfd574]
	general: name = Rangers
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[72fbcd15-a81b-476a-8c25-1b2caea694de]
	general: name = Bandits
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[f3ad89be-9368-4df7-a63b-0c315a96f23b]
	general: name = Bikers
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[9bf4882b-0622-4e77-82c1-feee90b566b4]
	general: name = Hazmats
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[c4878ebb-c8e5-4932-8850-370ee9c77d61]
	general: name = Veterans
	spawn: friendly = true
	spawn: companion = true
	spawn: defenders = false
	spawn: campers = true
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[b6c61446-ad6c-4529-9bac-751b9b64843f]
	general: name = SWAT
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[526e57b9-52cf-42a8-a17b-50e32e4d33f3]
	general: name = PoliceRiot
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[c15cc316-41f9-4c2c-b71a-3a3fb58c247d]
	general: name = Inmates
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[33894253-b965-4eb3-94e1-4d642cadac88]
	general: name = PoliceGray
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[c4e24888-70f9-43ea-80f8-1bb2f6b9bd88]
	general: name = PoliceBlue
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = true
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[d2860ee6-7e18-4132-ad42-8fb3a34ea499]
	general: name = ArmyGreen
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[c167d1e0-c077-4ee5-b353-88b374de193d]
	general: name = Civilians
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[989f4faf-53f2-4f8f-9603-496fb3efcb6a]
	general: name = Firemen
	spawn: friendly = true
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = false
	spawn: wanderer = true
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

[51a68231-8870-4508-8c09-bd906b4411d2]
	general: name = Mentals
	spawn: friendly = false
	spawn: companion = false
	spawn: defenders = false
	spawn: campers = false
	spawn: assault = true
	spawn: wanderer = false
	spawn: roadblock = false
	spawn: dayStart = 0
	spawn: dayEnd = 10000
	spawn: spawnChance = 0
	spawn: groupMin = 1
	spawn: groupMax = 4
	spawn: zone = 0

